,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
59,polynom2,nonlinear,small,none,LinearRegression,0.2670208231811568,10.0,0.4904566223964911,0.4588699877271068,-6.883569532590378,0.37529676797570055,18.212831953853524,0.38905200740411455,15.215198681617306
60,polynom3,nonlinear,small,high,LinearRegression,0.7205932949758275,5.0,0.699391979849667,0.6256950295123713,-11.778413901534513,0.4335708680363902,30.70571962601509,0.44342447929758216,29.13089310567798
61,polynom3,nonlinear,small,low,LinearRegression,0.6047306342914814,5.0,0.5768391897868708,0.5461921291057378,-5.611040336906795,0.4309693013545378,21.09565876385851,0.43924168812651015,19.581102560802922
62,polynom3,nonlinear,small,none,LinearRegression,0.04873670687637153,10.0,0.7458713965646699,0.7458848954290075,0.0018097784819442646,0.6963261441047965,6.644289437676097,0.7095895483637172,4.866078839740334
63,linear,nonlinear,medium,high,LinearRegression,0.8951574640125156,35.0,0.025339037606709254,0.025338767483943713,-0.0010660454014272292,0.025334907493331043,0.015233537365683284,0.025570582775838045,-0.9148641189482662
64,linear,nonlinear,medium,low,LinearRegression,0.3727911936283303,40.0,0.07095227690441974,0.07090836392776094,-0.06192919174321894,0.0709661949975504,-0.08155747303431868,0.07204253925254618,-1.5994944206309727
65,linear,nonlinear,medium,none,LinearRegression,0.20158401608105855,30.0,0.09734341717372917,0.0973314638757257,-0.012281021498598091,0.09745832364151816,-0.13033787918205017,0.09845220773905032,-1.1514712906769906
66,polynom2,nonlinear,medium,high,LinearRegression,0.7714269396729864,5.0,0.18875862006395996,0.1674572725444796,-12.720467254608103,0.08978317916139127,46.384425234476886,0.0957042558458335,42.848552116234444
67,polynom2,nonlinear,medium,low,LinearRegression,0.7964922671478016,5.0,0.2167252221731964,0.2249163072333378,3.6418368951983657,0.09565198873655321,57.47218602636948,0.10258411484193637,54.39009465173584
68,polynom2,nonlinear,medium,none,LinearRegression,0.1083979091003423,10.0,0.250414320410889,0.2506806029582169,0.10622383390879882,0.21000500252774998,16.226066137732523,0.2164444803921847,13.657268317540568
69,polynom3,nonlinear,medium,high,LinearRegression,0.7863749312806599,5.0,0.4168129679250912,0.39643446127784127,-5.140447826246784,0.21333403435840276,46.18680886854397,0.22489864201846232,43.26965388086128
70,polynom3,nonlinear,medium,low,LinearRegression,0.6692894325130833,5.0,0.4123209004203412,0.40815554952527905,-1.02053026105043,0.249550454220684,38.85898292674613,0.2660350752407328,34.82017442855915
71,polynom3,nonlinear,medium,none,LinearRegression,0.0614389973721103,10.0,0.41788163213413554,0.4175112743168226,-0.08870606378688746,0.3834665530025109,8.154204067906756,0.3903036999573165,6.516608300943752
72,linear,nonlinear,large,high,LinearRegression,0.8667028105651831,35.0,0.15472936284177521,0.15461283125531056,-0.07536993244256052,0.15483200122554905,-0.1417540630095434,0.15625234369991645,-1.060398694787873
73,linear,nonlinear,large,low,LinearRegression,0.7355849284895352,40.0,0.14834371834519286,0.1483449721997971,0.0008452289185363092,0.1485467733370119,-0.13603503659229532,0.14871751028918076,-0.2511295690439196
74,linear,nonlinear,large,none,LinearRegression,0.09904255123926121,35.0,0.19322988747745323,0.19322771875222516,-0.0011223675578604867,0.19327357792738573,-0.023733228056874642,0.1948419760167563,-0.8354170276165607
75,polynom2,nonlinear,large,high,LinearRegression,0.7125481234137451,5.0,0.4610428582098998,0.4560087520939434,-1.1039494511542414,0.19984035924888124,56.17620093227692,0.2202055528399972,51.710235422272746
76,polynom2,nonlinear,large,low,LinearRegression,0.38938825248178255,5.0,0.4619618842041572,0.45915496994773736,-0.6113217628329966,0.25096046367314845,45.3429713062425,0.26830568225499174,41.56533200859587
77,polynom2,nonlinear,large,none,LinearRegression,0.29770662177500234,10.0,0.538583659327296,0.5121450020575832,-5.162338236923808,0.36385036882968624,28.95559512093479,0.3756285811747637,26.65581433663394
78,polynom3,nonlinear,large,high,LinearRegression,0.7279988698552425,5.0,0.6323072200358016,0.6319536071482865,-0.055955513745828744,0.46284331934521167,26.759921280644498,0.47895927219034795,24.20974154231527
79,polynom3,nonlinear,large,low,LinearRegression,0.6548003675150991,5.0,0.7131781518430204,0.6765763241430968,-5.409859374887358,0.42986477524841904,36.464703255341504,0.4526861067567924,33.091642346466635
80,polynom3,nonlinear,large,none,LinearRegression,0.09706640119097154,10.0,0.7099175946565452,0.7070782831130934,-0.40155547288923277,0.652978564438145,7.651163947047075,0.6636056431558737,6.148207489250028
81,linear,random_con,small,high,LinearRegression,0.8292596710924408,40.0,0.14736841902103104,0.14738951827474506,0.014315301359957008,0.1475198598335969,-0.08843339769173109,0.14879507544893741,-0.9536344175929073
82,linear,random_con,small,low,LinearRegression,0.7833216779886366,40.0,0.08988796863461579,0.08973712896616483,-0.1680905887994643,0.089731158248576,0.006653564313474811,0.09046444867511719,-0.8105003105532754
83,linear,random_con,small,none,LinearRegression,0.04089345112492227,40.0,0.19597690427605416,0.1959790903727515,0.001115474458613923,0.19593703097278126,0.02146116705115721,0.19814768853211484,-1.1065456805818845
