,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
93,polynom2,random_con,medium,high,SupportVectorMachines,0.8639787830158081,40.0,0.08971870864979765,0.08960602183536841,-0.12575808201404648,0.09028264823018829,-0.7551126374776895,0.09151074602988504,-2.1256653911231016
94,polynom2,random_con,medium,low,SupportVectorMachines,0.24489698782544603,40.0,0.0795676343707323,0.08051329200927827,1.1745360485781553,0.0784263890165976,2.5919980919922923,0.08286667201203278,-2.92297078410768
95,polynom2,random_con,medium,none,SupportVectorMachines,0.06603022492460871,40.0,0.08737854543506894,0.08462686570090028,-3.251543952831743,0.08737878080386825,-3.2518220782206044,0.09155004767539479,-8.180832312711853
96,polynom3,random_con,medium,high,SupportVectorMachines,0.8673330810777516,40.0,0.17980715199500988,0.17887079815138746,-0.5234805531699696,0.18523155785546405,-3.5560638012545582,0.18845888364150887,-5.360341424767685
97,polynom3,random_con,medium,low,SupportVectorMachines,0.23917932460656405,40.0,0.20292663395151644,0.2004178151137809,-1.2517943259241902,0.20300016149590563,-1.2884814559317934,0.21318629966407063,-6.3709329148413385
98,polynom3,random_con,medium,none,SupportVectorMachines,0.10911409890821942,40.0,0.25934988993935154,0.25428729170221154,-1.9908970689218184,0.2541048790790023,0.07173485626755002,0.26984014561243735,-6.116252922477664
99,linear,random_con,large,high,SupportVectorMachines,0.8325543887390312,40.0,0.1481009670622935,0.14810709842696443,0.004139818236968865,0.14807339473174835,0.022756299714220236,0.14921159739596312,-0.7457434388557374
100,linear,random_con,large,low,SupportVectorMachines,0.8289127677540686,40.0,0.1568536786231668,0.15684520343236108,-0.0054035384061759,0.1527854420128252,2.588387359442988,0.1556125431454975,0.7859088195802973
101,linear,random_con,large,none,SupportVectorMachines,0.041770167911074706,40.0,0.2270449360976098,0.22717588012898843,0.057639935764424916,0.22849900370059337,-0.5824225577353026,0.23230588584588258,-2.2581647813937717
102,polynom2,random_con,large,high,SupportVectorMachines,0.7413297668337759,35.0,0.22966154756697643,0.22781810905995947,-0.8091711912733786,0.22943956976303256,-0.7117347737472172,0.2323234660838068,-1.9776114561031506
103,polynom2,random_con,large,low,SupportVectorMachines,0.8047571003144856,40.0,0.19346788872009152,0.19144991601069222,-1.0540473202853717,0.18918887670654258,1.1810082507549213,0.19139099833385545,0.030774459484997768
104,polynom2,random_con,large,none,SupportVectorMachines,0.031050893421698384,40.0,0.3674243434409019,0.3580988618544676,-2.604163983694597,0.35289177325739013,1.4540924732661242,0.38255873137359653,-6.830479547591942
