id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
49,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,large,low,dataset-TR_linear_rel-polynom2-lvl_large-sac-low.csv,target-TR_linear_rel-polynom2-lvl_large-sac-low.csv,trend_linear.csv
50,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,large,none,dataset-TR_linear_rel-polynom2-lvl_large-sac-none.csv,target-TR_linear_rel-polynom2-lvl_large-sac-none.csv,trend_linear.csv
51,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,large,high,dataset-TR_linear_rel-polynom3-lvl_large-sac-high.csv,target-TR_linear_rel-polynom3-lvl_large-sac-high.csv,trend_linear.csv
52,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,large,low,dataset-TR_linear_rel-polynom3-lvl_large-sac-low.csv,target-TR_linear_rel-polynom3-lvl_large-sac-low.csv,trend_linear.csv
53,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,large,none,dataset-TR_linear_rel-polynom3-lvl_large-sac-none.csv,target-TR_linear_rel-polynom3-lvl_large-sac-none.csv,trend_linear.csv
54,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,small,high,dataset-TR_nonlinear_rel-linear-lvl_small-sac-high.csv,target-TR_nonlinear_rel-linear-lvl_small-sac-high.csv,trend_nonlinear.csv
55,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,small,low,dataset-TR_nonlinear_rel-linear-lvl_small-sac-low.csv,target-TR_nonlinear_rel-linear-lvl_small-sac-low.csv,trend_nonlinear.csv
56,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,small,none,dataset-TR_nonlinear_rel-linear-lvl_small-sac-none.csv,target-TR_nonlinear_rel-linear-lvl_small-sac-none.csv,trend_nonlinear.csv
57,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,small,high,dataset-TR_nonlinear_rel-polynom2-lvl_small-sac-high.csv,target-TR_nonlinear_rel-polynom2-lvl_small-sac-high.csv,trend_nonlinear.csv
58,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,small,low,dataset-TR_nonlinear_rel-polynom2-lvl_small-sac-low.csv,target-TR_nonlinear_rel-polynom2-lvl_small-sac-low.csv,trend_nonlinear.csv
